townname,village,neighbor,tribe tr,tribe name,X,Y,spot,latitude,longitude,nationalit,Population
信義鄉,地利村,1~5,Tamazuan,達瑪巒部落,244227.233000000007451,2632228.910000000149012,地利國小,23.794080000000001,120.943299999999994,布農族,"1040"
信義鄉,明德村,1~14,Naihunpu,明德部落,235183.885999999998603,2621572.342000000178814,信義國小,23.697800000000001,120.854699999999994,布農族,"573"
信義鄉,豐丘村,1~5,Salitung,豐丘部落,237254.567000000010012,2618474.554000000003725,豐丘國小,23.669840000000001,120.875000000000000,布農族,"399"
信義鄉,羅娜村,"6",Halusipun,筆石部落,238294.752000000007683,2614720.015000000130385,信筆巷,23.635950000000001,120.885300000000001,布農族,"54"
信義鄉,東埔村,2、5,Ilausan,依勞善部落,242607.727000000013504,2606548.337999999988824,東埔國小,23.562259999999998,120.927599999999998,布農族,"432"
信義鄉,東埔村,"3",Valana,法蘭娜部落,242002.807999999989988,2607011.884000000078231,開高巷,23.566440000000000,120.921599999999998,布農族,"121"
信義鄉,東埔村,"6",Hanbizan,涵碧蘭部落,239705.366000000009080,2609164.320999999996275,開高巷,23.585870000000000,120.899100000000004,布農族,"152"
魚池鄉,日月村,1~10,Ita thao,伊達邵部落,243429.779000000009546,2638256.535999999847263,德化國小,23.848500000000001,120.935500000000005,邵族,"294"
仁愛鄉,親愛村,1~12、18,Alang sasi,親愛部落,261161.247000000003027,2651454.794000000227243,親愛國小,23.967649999999999,121.109700000000004,泰雅族,"711"
仁愛鄉,南豐村,1~7,Alang tongan,眉溪部落,258887.361999999993714,2655663.638999999500811,南豐村衛生室,24.005669999999999,121.087400000000002,賽德克族,"892"
仁愛鄉,春陽村,1~10,Alang snuwing,史努櫻部落,265172.984999999986030,2658131.237999999895692,春陽國小,24.027909999999999,121.149199999999993,賽德克族,"1149"
仁愛鄉,發祥村,11~12,Knaziy,紅香部落,268009.777000000001863,2672730.347000000067055,紅葉國小,24.159700000000001,121.177199999999999,泰雅族,"267"
仁愛鄉,法治村,1~10,Bukai,武界部落,254702.730000000010477,2645751.144999999552965,法治國小,23.916190000000000,121.046199999999999,布農族,"1001"
仁愛鄉,互助村,1~15,Alang nakahara,中原部落,246929.592999999993481,2662005.899999999906868,互助國小,24.062960000000000,120.969800000000006,賽德克族,"694"
仁愛鄉,互助村,16~22,Alang gluban,清流部落,245249.326999999990221,2662694.297999999951571,仁愛分局清流派出所,24.069179999999999,120.953299999999999,賽德克族,"499"
仁愛鄉,新生村,1~6,Qalang mb’ala,眉原部落,248244.430000000022119,2663042.705000000074506,新生村衛生室,24.072320000000001,120.982699999999994,泰雅族,"432"
仁愛鄉,萬豐村,1~10,Sima-un,萬豐部落,257732.624000000010710,2649179.224000000394881,萬豐國小,23.947130000000001,121.075999999999993,布農族,"794"
信義鄉,人和村,7~10,Qapuciu,洽波石部落,241587.331999999994878,2631242.203999999910593,波石巷,23.785160000000001,120.917400000000001,布農族,"184"
