townname,village,neighbor,tribe tr,tribe name,X,Y,spot,latitude,longitude,nationalit,Population
魚池鄉,日月村,1~10,Ita thao,伊達邵部落,243429.779000000009546,2638256.535999999847263,德化國小,23.848500000000001,120.935500000000005,邵族,"294"
仁愛鄉,親愛村,1~12、18,Alang sasi,親愛部落,261161.247000000003027,2651454.794000000227243,親愛國小,23.967649999999999,121.109700000000004,泰雅族,"711"
仁愛鄉,親愛村,13~17,Alang pulan,松林部落,259911.567999999999302,2651718.324000000022352,親和巷,23.970040000000001,121.097399999999993,賽德克族,"530"
仁愛鄉,親愛村,19-21,Alang marosan,萬大部落,263065.609999999986030,2652167.592999999877065,親愛國小萬大分校,23.974080000000001,121.128399999999999,泰雅族,"110"
仁愛鄉,南豐村,1~7,Alang tongan,眉溪部落,258887.361999999993714,2655663.638999999500811,南豐村衛生室,24.005669999999999,121.087400000000002,賽德克族,"892"
仁愛鄉,春陽村,1~10,Alang snuwing,史努櫻部落,265172.984999999986030,2658131.237999999895692,春陽國小,24.027909999999999,121.149199999999993,賽德克族,"1149"
仁愛鄉,精英村,1~8,Alang bwarung,廬山部落,268936.255999999993946,2658914.723999999929219,廬山國小,24.034939999999999,121.186199999999999,賽德克族,"577"
仁愛鄉,都達村,1~7,Alang toda,平靜部落,269549.435999999986961,2661698.543000000063330,仁愛分局平靜派出所,24.060070000000000,121.192200000000000,賽德克族,"780"
仁愛鄉,都達村,8~9,Alang ruku daya,平和部落,269513.227000000013504,2661633.032000000122935,平靜國小,24.059480000000001,121.191900000000004,賽德克族,"152"
仁愛鄉,發祥村,1~7,Masitoban,瑞岩部落,265975.576999999990221,2668709.034000000450760,發祥國小,24.123410000000000,121.157200000000003,泰雅族,"435"
仁愛鄉,發祥村,8~9,Qalang kobah,慈峰部落,268696.892999999981839,2669642.757000000216067,慈峰巷,24.131810000000002,121.183899999999994,泰雅族,"131"
仁愛鄉,發祥村,"10",Qalang bayi,梅村部落,268269.843999999982771,2671756.444000000134110,溪門巷,24.150900000000000,121.179800000000000,泰雅族,"96"
仁愛鄉,發祥村,11~12,Knaziy,紅香部落,268009.777000000001863,2672730.347000000067055,紅葉國小,24.159700000000001,121.177199999999999,泰雅族,"267"
仁愛鄉,法治村,1~10,Bukai,武界部落,254702.730000000010477,2645751.144999999552965,法治國小,23.916190000000000,121.046199999999999,布農族,"1001"
仁愛鄉,力行村,1~7,Malepa,新望洋部落,269249.037000000011176,2671472.915000000037253,力行國小,24.148330000000001,121.189400000000006,泰雅族,"604"
